port,game,round,depth,num_children,entropy_ratio,q_spread,concentration
5000,2,21,2,4,0.9986,0.0009,0.2723
5002,2,21,1,2,1.0,0.0008,0.5
5003,2,21,1,5,0.9998,0.0011,0.2077
5000,2,22,1,3,0.9974,0.0004,0.3641
5000,2,22,2,3,0.9993,0.0006,0.3518
5000,2,22,3,3,0.9992,0.0011,0.352
5002,2,22,1,3,0.9977,0.0009,0.35
5002,2,22,2,5,1.0,0.0014,0.2
5003,2,22,1,7,0.9996,0.0032,0.1502
5000,2,23,2,3,0.9989,0.0011,0.3571
5000,2,23,3,4,1.0,0.001,0.25
5002,2,23,1,4,0.9939,0.0006,0.3077
5002,2,23,2,3,1.0,0.0,0.3333
5003,2,23,1,7,0.9998,0.0008,0.1514
5000,2,24,1,5,0.998,0.0012,0.2231
5002,2,24,1,3,0.9989,0.0002,0.3448
5002,2,24,2,4,1.0,0.0001,0.25
5003,2,24,1,3,0.9972,0.0012,0.3641
5000,2,25,1,8,0.9987,0.0005,0.1354
5002,2,25,1,3,0.9602,0.0001,0.4
5003,2,25,1,2,1.0,0.0,0.5
5002,2,26,1,14,0.9826,0.0019,0.087
5003,2,26,1,4,0.9993,0.0028,0.2629
5000,2,27,1,7,0.9962,0.0027,0.166
5002,2,27,1,4,1.0,0.0001,0.25
5002,2,27,2,2,1.0,0.0001,0.5
5000,2,28,1,3,0.9952,0.0005,0.375
5000,2,28,2,3,0.9821,0.0006,0.4286
5000,2,28,3,2,1.0,0.0,0.5
5002,2,28,1,2,1.0,0.0011,0.5
5002,2,28,2,3,0.9464,0.0006,0.5
5000,2,29,1,4,0.9981,0.0009,0.2726
5000,2,29,2,3,0.9995,0.0001,0.3413
5002,2,29,1,6,0.9979,0.0008,0.2
5002,2,29,2,4,1.0,0.002,0.25
5002,2,30,1,3,0.9983,0.0002,0.3478
5002,2,30,2,4,0.9591,0.0007,0.3333
5002,2,31,1,4,0.9984,0.0001,0.2667
5002,2,31,2,3,1.0,0.0,0.3333
5000,2,32,1,3,0.9985,0.0004,0.3573
5000,2,32,2,2,0.9997,0.0009,0.5109
5000,2,33,1,3,0.9998,0.0019,0.3381
