game,round,num_iterations,max_depth,avg_depth,time_taken,num_children,value
316,8,219,2,2.0,1.0,3,0.27487959612246626
316,9,269,2,2.0,1.0,1,0.2614085666037735
316,10,243,2,2.0,1.0,2,0.23486031314018466
316,11,251,2,2.0,1.0,3,-0.2068572630473442
316,12,231,2,2.0,1.0,3,0.18463299635126248
316,13,197,2,2.0,1.0,3,0.2697887352558083
316,14,181,2,2.0,1.0,5,0.2548750388440296
316,15,238,2,2.0,1.0,3,0.25180902693521107
316,16,217,2,2.0,1.0,11,-0.19225873174798047
316,17,186,2,2.0,1.0,3,-0.14929336873332166
316,18,208,2,2.0,1.0,1,-0.10091626093518023
316,19,243,2,2.0,1.0,1,-0.20007619041017846
316,20,256,2,2.0,1.0,1,0.18971414390616695
316,21,204,2,2.0,1.0,3,0.25220536301333835
316,22,187,2,2.0,1.0,3,0.26177912394618813
316,23,197,2,2.0,1.0,5,0.28179836741304354
316,24,279,2,2.0,1.0,5,0.37678905853386685
316,25,283,2,2.0,1.0,2,0.37663835085026015
316,26,237,2,2.0,1.0,1,-0.07165406666351333
316,27,243,2,2.0,1.0,8,-0.0505642240927145
316,28,228,2,2.0,1.0,4,0.32117050773637035
316,29,221,2,2.0,1.0,3,0.2607442496737831
316,30,252,2,2.0,1.0,1,0.27669172932330877
316,31,208,2,2.0,1.0,2,0.2818237496075707
316,32,227,2,2.0,1.0,9,-0.20050142158759385
316,33,208,2,2.0,1.0,3,-0.12263152247313377
316,34,215,2,2.0,1.0,2,-0.08070839062960183
316,35,284,2,2.0,1.0,3,0.3280862272873871
316,36,270,2,2.0,1.0,3,0.37626144147420687
316,37,243,2,2.0,1.0,3,0.4091490523632698
316,38,240,2,2.0,1.0,10,0.4055478636471669
316,39,242,2,2.0,1.0,5,0.41760618258701165
316,40,263,2,2.0,1.0,2,0.4211912349140716
316,41,250,2,2.0,1.0,3,0.4097776943139295
316,42,278,2,2.0,1.0,3,0.2978126959064069
316,43,312,2,1.5705128205128205,1.0,3,0.6057692307692307
316,44,287,2,2.0,1.0,4,0.5
316,45,870,2,0.10459770114942529,1.0,3,0.9735632183908046
317,1,353,2,2.0,1.0,3,-0.16504249291784745
317,2,329,2,2.0,1.0,2,-0.16607999773832127
317,3,301,2,2.0,1.0,3,-0.1409372575130029
