game,round,num_iterations,max_depth,time_taken,num_children,value
11,6,1000,3,2.94,1,-0.08999210323393345
11,7,1000,3,3.09,1,-0.08999042177200317
11,8,1000,5,5.1,3,-0.08998908586800099
11,9,1000,5,8.89,1,-0.08998965947329998
11,10,1000,4,6.49,1,-0.08998860892653465
11,11,1000,3,3.13,1,-0.08998849844187498
11,12,1000,3,2.8,2,-0.08998815862834454
11,13,1000,6,4.21,3,-0.0899884775057435
11,14,1000,5,3.16,2,-0.08998642070591449
11,15,1000,3,4.02,3,-0.08998767105489969
11,16,1000,4,4.11,2,-0.08998723342269659
11,17,1000,4,3.38,2,-0.0899887314811349
11,18,1000,4,6.85,10,-0.08998748245835304
11,19,251,5,10.04,3,-0.08998737300178444
11,20,1000,6,8.06,3,-0.08998948124051094
11,21,1000,3,2.96,2,-0.08998847474902869
11,22,1000,4,5.75,5,-0.08998690980672837
11,23,1000,2,4.02,18,-0.08998555356264114
11,24,1000,3,3.38,1,-0.08998502373695373
11,25,241,5,10.04,8,-0.08998499835427866
11,26,1000,4,4.77,1,-0.08998487740010024
11,27,1000,3,3.54,2,-0.08998575842380524
11,28,1000,3,3.69,2,-0.08998516394942999
11,29,1000,3,6.62,2,-0.08998500736802817
11,30,1000,3,3.32,1,-0.08998410123586655
11,31,1000,5,5.61,11,-0.08998363161832094
11,32,1000,3,2.94,3,-0.08998337187618018
11,33,1000,1,2.75,6,-0.0899829057380557
11,34,1000,3,6.69,7,-0.08998162957280874
11,35,1000,2,5.87,4,-0.08998026595264673
12,1,1000,3,3.73,3,-0.0032172453477978705
12,2,1000,3,3.03,3,-0.003218595277518034
12,3,1000,2,2.85,3,-0.003219326004385948
12,4,1000,3,2.93,2,-0.003220504995435476
12,5,1000,2,3.01,2,-0.0032209987826645374
12,6,1000,2,3.0,2,-0.0032212699986994267
12,7,1000,1,2.65,6,-0.003220568660646677
12,8,1000,2,2.65,2,-0.0032215156070888045
12,9,1000,5,4.82,3,-0.003222160384058952
12,10,1000,3,2.93,2,-0.003221777610480785
12,11,1000,3,4.24,2,-0.0032210842967033385
12,12,1000,2,3.3,6,-0.0032218849696218966
12,13,275,5,10.01,4,-0.003221981647339734
12,14,1000,5,8.29,3,-0.0032228778563439847
12,15,1000,3,4.09,4,-0.0032230707854032517
12,16,1000,2,3.18,4,-0.0032232357747852803
12,17,1000,2,2.79,3,-0.003223295271396637
12,18,1000,1,2.5,2,-0.0032235444635152818
12,19,1000,1,2.54,3,-0.0032253080531954763
12,20,1000,3,5.38,4,-0.003226208161562681
12,21,1000,3,5.65,4,-0.003225396703928709
12,22,1000,1,2.54,3,-0.003225079618394375
12,23,523,7,10.03,3,-0.0032246986379131076
12,24,220,4,10.04,4,-0.003224653598259796
12,25,1000,4,3.96,2,-0.0032228489629924297
12,26,1000,3,3.03,1,-0.0032237171828746795
12,27,1000,2,2.62,1,-0.0032245435304939746
12,28,1000,3,2.63,1,-0.0032273756004869937
12,29,1000,4,3.5,4,-0.0032291237749159335
12,30,1000,2,2.55,2,-0.003230287279933691
13,1,1000,3,3.69,3,0.0181271317191422
13,2,1000,3,3.75,3,0.01812769592553377
13,3,1000,4,3.97,3,0.018128376606851817
13,4,1000,2,2.59,2,0.018128564082086088
13,5,1000,2,2.57,2,0.01812849235534668
13,6,1000,2,2.54,1,0.01812875922769308
13,7,1000,2,2.79,4,0.01812804070673883
13,8,1000,3,4.12,5,0.01812790303491056
13,9,1000,3,4.48,6,0.018127990014851093
13,10,1000,3,3.68,3,0.018128610745072365
13,11,1000,3,2.88,2,0.018128537993878126
13,12,1000,3,2.76,1,0.018128069937229156
13,13,1000,2,2.69,3,0.018127456115558743
13,14,1000,3,2.67,1,0.01812759358435869
13,15,1000,2,2.65,1,0.018127930568531157
13,16,1000,3,3.1,4,0.018127283973619342
13,17,1000,3,2.7,2,0.018126487117260694
13,18,1000,1,2.57,4,0.018126542769372464
13,19,1000,1,2.48,2,0.018125717770308258
13,20,1000,2,2.64,3,0.01812543814070523
13,21,1000,1,2.51,2,0.018125252591446043
14,1,1000,3,3.78,3,0.12034742582589388
14,2,1000,3,4.08,3,0.12034790938347578
14,3,1000,4,5.53,3,0.12034804756939411
14,4,1000,4,3.73,1,0.12034851310402155
14,5,1000,4,3.93,1,0.12034872172027826
14,6,1000,4,4.51,1,0.12034929996728896
14,7,1000,4,4.67,1,0.12034994751960039
14,8,1000,4,4.81,1,0.1203498197644949
14,9,1000,4,4.91,1,0.12035089571774006
14,10,1000,4,4.97,1,0.12035122854262591
14,11,1000,4,5.94,1,0.12035175651311875
14,12,211,3,10.04,5,0.12035253354440933
14,13,1000,3,4.22,2,0.12035200629383326
