port,game,round,depth,num_children,entropy_ratio,q_spread,concentration
5012,1,57,1,3,0.9919,0.0,0.3913
5012,1,57,2,4,0.9886,0.0,0.3125
5012,1,57,3,4,1.0,0.0,0.25
5013,1,57,2,2,1.0,0.0,0.5031
5013,1,57,4,8,0.9999,0.0,0.1274
5012,1,58,1,3,0.9949,0.0,0.3793
5012,1,58,2,3,0.9977,0.0,0.35
5012,1,58,3,5,1.0,0.0,0.2
5013,1,58,1,3,1.0,0.0,0.3333
5013,1,58,2,3,0.9999,0.0,0.3398
5012,1,59,1,8,0.9936,0.0,0.1364
5012,1,59,2,2,1.0,0.0,0.5
5013,1,59,1,5,1.0,0.0,0.2023
5012,1,60,1,6,0.9997,0.0,0.1783
5012,1,60,2,3,0.9938,0.0,0.381
5012,1,60,3,7,1.0,0.0,0.1429
5012,1,61,1,3,0.9941,0.0,0.3782
5012,1,61,2,3,0.9995,0.0,0.3488
5012,1,61,3,3,0.9947,0.0,0.3846
5012,1,61,4,2,0.9183,0.0,0.6667
5013,1,61,1,4,1.0,0.0,0.2513
5012,1,62,1,3,0.9999,0.0,0.3406
5012,1,62,2,3,0.9939,0.0,0.3824
5012,1,62,3,5,0.9995,0.0,0.2063
5013,1,62,1,3,1.0,0.0,0.335
5013,1,62,2,6,0.9995,0.0,0.1747
5012,1,63,1,9,0.9996,0.0,0.1217
5012,1,63,2,3,0.9945,0.0,0.38
5012,1,63,3,6,1.0,0.0,0.1667
5013,1,63,1,8,1.0,0.0,0.1254
5012,1,64,1,9,0.9996,0.0,0.1221
5012,1,64,2,3,0.9948,0.0,0.3786
5012,1,64,3,6,0.999,0.0,0.1892
5013,1,64,1,9,1.0,0.0,0.1113
5012,1,65,1,9,0.9996,0.0,0.1215
5012,1,65,2,3,0.9934,0.0,0.3824
5012,1,65,3,6,0.999,0.0,0.1892
5013,1,65,1,9,1.0,0.0,0.1123
5012,1,66,1,3,0.9945,0.0,0.3767
5012,1,66,2,6,0.9983,0.0,0.1887
5013,1,66,1,3,0.9999,0.0,0.338
5013,1,66,2,3,0.9999,0.0,0.3403
5012,1,67,1,3,0.9947,0.0,0.3714
5012,1,67,2,5,0.9905,0.0,0.2727
5012,1,67,3,2,1.0,0.0,0.5
5013,1,67,2,3,0.9999,0.0,0.338
5013,1,67,4,3,1.0,0.0,0.3351
5012,1,68,1,7,0.9972,0.0,0.1667
5012,1,68,2,4,1.0,0.0,0.25
5013,1,68,1,6,0.9985,0.0,0.1798
5013,1,68,2,2,1.0,0.0,0.5
5013,1,68,3,2,0.971,0.0,0.6
5012,1,69,1,6,0.9993,0.0,0.176
5012,1,69,2,5,1.0,0.0,0.2
5012,1,69,3,3,1.0,0.0,0.3333
5013,1,69,1,4,0.9998,0.0,0.2574
5012,1,70,1,3,0.9932,0.0,0.3846
5012,1,70,2,3,0.9952,0.0,0.375
5012,1,70,3,3,0.9965,0.0,0.375
5012,1,70,4,5,1.0,0.0,0.2
5012,1,71,1,3,0.9928,0.0,0.3858
