game,player,z,num_examples,value_mean,value_std,percent_full_iter
83,5013,-0.33333333333333326,131,0.0676,0.0498,85.5
83,5010,0.33333333333333337,149,-0.0276,0.0199,86.58
83,5012,1.0,181,-0.032,0.02,38.12
84,5012,-1.0,58,0.0137,0.0115,100.0
84,5010,-0.33333333333333326,111,0.0493,0.04,92.78999999999999
84,5013,0.33333333333333337,133,-0.0934,0.069,88.72
84,5011,1.0,147,0.0808,0.0563,69.39
85,5013,1.0,119,-0.0044,0.003,73.95
85,5012,-1.0,73,0.0017,0.0013,87.67
85,5011,0.33333333333333337,97,0.0229,0.018,86.6
85,5010,-0.33333333333333326,85,0.0234,0.0169,96.47
86,5011,-1.0,65,0.0315,0.0274,100.0
86,5012,1.0,123,-0.0244,0.0192,58.540000000000006
86,5010,-0.33333333333333326,130,0.0818,0.0616,97.69
86,5013,0.33333333333333337,114,0.0413,0.0315,93.86
87,5012,-1.0,63,0.0162,0.0155,100.0
87,5010,-0.33333333333333326,93,0.0439,0.0326,68.82000000000001
87,5011,0.33333333333333337,146,-0.0507,0.036,79.45
87,5013,1.0,172,0.0363,0.0229,30.81
89,5012,-0.33333333333333326,101,0.0073,0.0054,100.0
89,5010,-1.0,93,0.0606,0.0449,93.55
89,5013,0.33333333333333337,175,0.0308,0.0208,47.43
89,5011,1.0,167,-0.0757,0.0545,62.28
90,5013,-1.0,76,0.0525,0.0448,100.0
90,5010,-0.33333333333333326,107,-0.0549,0.0415,83.17999999999999
90,5012,0.33333333333333337,111,0.0737,0.0608,92.78999999999999
90,5011,1.0,155,-0.0819,0.0532,44.519999999999996
91,5013,0.33333333333333337,69,0.0245,0.0196,94.19999999999999
91,5012,-0.33333333333333326,77,0.0512,0.0376,76.62
91,5010,-1.0,49,-0.0089,0.0068,93.88
91,5011,1.0,80,-0.0068,0.005,66.25
92,5012,-1.0,43,-0.0033,0.0025,100.0
92,5010,-0.33333333333333326,41,-0.0189,0.0236,100.0
92,5013,0.33333333333333337,90,-0.0124,0.009,70.0
92,5011,1.0,100,-0.0142,0.0098,66.0
93,5012,-0.33333333333333326,94,0.0356,0.0363,100.0
93,5011,1.0,152,-0.0335,0.0238,55.26
93,5013,0.33333333333333337,150,-0.018,0.0127,68.67
93,5010,-1.0,88,0.0763,0.0606,82.95
94,5012,-1.0,73,0.0604,0.0505,95.89
94,5010,-0.33333333333333326,171,-0.0981,0.0694,71.35000000000001
94,5011,0.33333333333333337,209,0.0788,0.0529,70.81
94,5013,1.0,206,-0.0973,0.0661,53.879999999999995
95,5011,-1.0,58,-0.0466,0.0378,100.0
95,5013,-0.33333333333333326,55,0.0453,0.0384,100.0
95,5010,1.0,118,0.0595,0.0379,63.56
95,5012,0.33333333333333337,100,-0.0213,0.0149,80.0
96,5011,-0.33333333333333326,60,-0.0631,0.0463,93.33
96,5010,-1.0,31,-0.0189,0.0161,100.0
96,5013,1.0,82,0.0804,0.0564,67.07
96,5012,0.33333333333333337,79,-0.0117,0.0084,67.09
97,5010,-1.0,57,-0.0505,0.0431,92.97999999999999
97,5012,0.33333333333333337,123,0.0114,0.0081,71.54
97,5011,-0.33333333333333326,106,0.0292,0.0223,87.74
97,5013,1.0,143,-0.0255,0.0162,45.45
98,5012,-1.0,59,-0.0533,0.0489,93.22
98,5010,-0.33333333333333326,77,0.0282,0.0219,97.39999999999999
98,5013,1.0,187,-0.0163,0.0105,50.27
98,5011,0.33333333333333337,159,0.038,0.0277,66.03999999999999
99,5010,-1.0,90,0.0797,0.0651,96.67
99,5012,-0.33333333333333326,206,-0.0538,0.0357,80.10000000000001
99,5011,0.33333333333333337,191,-0.0307,0.0234,79.58
99,5013,1.0,214,-0.0738,0.0509,56.54
100,5010,-1.0,43,0.0682,0.0766,100.0
100,5012,-0.33333333333333326,68,-0.0516,0.0394,85.28999999999999
100,5013,1.0,83,-0.0193,0.0149,60.24
100,5011,0.33333333333333337,83,0.0689,0.0532,65.06
101,5010,-1.0,36,0.0499,0.0421,100.0
101,5012,-0.33333333333333326,58,-0.0837,0.0584,86.21
101,5011,0.33333333333333337,171,-0.0248,0.0159,72.50999999999999
101,5013,1.0,172,-0.0763,0.0488,18.02
102,5010,-1.0,34,-0.028,0.0221,100.0
102,5011,0.33333333333333337,75,-0.0554,0.044,84.0
102,5012,-0.33333333333333326,59,-0.0362,0.0289,69.49
102,5013,1.0,90,-0.0328,0.0226,48.89
103,5011,-0.33333333333333326,19,0.0335,0.0392,100.0
103,5013,-1.0,36,-0.036,0.0287,100.0
103,5010,1.0,81,0.0383,0.0317,65.42999999999999
103,5012,0.33333333333333337,97,0.0238,0.0167,68.04
104,5012,-0.33333333333333326,30,0.0041,0.0046,100.0
104,5010,-1.0,42,0.0592,0.0441,92.86
104,5011,0.33333333333333337,90,0.0432,0.0313,71.11
104,5013,1.0,90,0.0559,0.0405,53.33
