profile,func_name,ncalls,time,time_per_call,total_time
mcts_heuristic_v2/profiles/mcts_301_05.prof,reset_moved_flags,540,0.001098849,2.0349055555555555e-06,1.0014201479999993
mcts_heuristic_v2/profiles/mcts_301_05.prof,backpropagate,270,0.000123964,4.5912592592592596e-07,1.0014201479999993
mcts_heuristic_v2/profiles/mcts_301_05.prof,<lambda>,10214,0.000530548,5.194321519483063e-08,1.0014201479999993
mcts_heuristic_v2/profiles/mcts_301_05.prof,<genexpr>,12349,0.0019720280000000002,1.5969131103733098e-07,1.0014201479999993
mcts_heuristic_v2/profiles/mcts_301_05.prof,<genexpr>,12422,0.0019019590000000002,1.5311213975205282e-07,1.0014201479999993
mcts_heuristic_v2/profiles/mcts_301_05.prof,is_terminal,1049,8.010100000000001e-05,7.635938989513824e-08,1.0014201479999993
mcts_heuristic_v2/profiles/mcts_301_05.prof,<genexpr>,7446,0.001412358,1.8968009669621274e-07,1.0014201479999993
mcts_heuristic_v2/profiles/mcts_301_05.prof,<genexpr>,13545,0.0017583030000000001,1.2981196013289038e-07,1.0014201479999993
mcts_heuristic_v2/profiles/mcts_301_05.prof,is_fully_expanded,796,0.00015029300000000002,1.888103015075377e-07,1.0014201479999993
mcts_heuristic_v2/profiles/mcts_301_05.prof,<genexpr>,16951,0.0014105930000000001,8.321591646510531e-08,1.0014201479999993
mcts_heuristic_v2/profiles/mcts_301_05.prof,__init__,8,2.989e-06,3.73625e-07,1.0014201479999993
mcts_heuristic_v2/profiles/mcts_301_05.prof,update_income,2160,0.0036184890000000003,1.675226388888889e-06,1.0014201479999993
